ID,name,address1,address2,city,postalCode,latitude,longitude,phone,stateCode,countryCode,storeHours
231489670001107,ALGAR PARANAIGUARA,"AVENIDA PRESIDENTE TANCREDO NEVES, 13 - SETOR CENTRAL",,PARANAIGUARA,75880-000,-18.911287,-50.654652,064 3655-2551,GO,,SEG A SEX: 08:00 ás 18:00 - SAB: 08:00 ás 12:00 - DOM: Fechado
19885747000100,ALGAR BREJO BONITO,"AVENIDA ADAO FERREIRA, 431 - LOJA 2 - BAIRRO CENTRO -",,CRUZEIRO DA FORTALEZA,38735-000,-19.009475,-46.614376,034 3835-5231,MG,,SEG A SEX: 08:00 ás 18:00 - SAB: 09:00 ás 13:00 - DOM: Fechado
016336870001651,ALGAR CAMPOS ALTOS,"RUA TIRADENTES, 595 - BAIRRO CENTRO",,CAMPOS ALTOS,38970-000,-19.700397,-46.171108,037 3426-4040,MG,,SEG A SEX: 08:00 ás 18:00 - SAB: 08:00 ás 12:00 - DOM: Fechado
55118104000197,TELE.COM ARAXA LTDA,"R. Almeida Campos, 215",,ARAXA,38183-222,-19.5953091,-46.9383471,(034)36129050,MG,,SEG A SEX: 09:00 ás 18:00 - SAB: 09:00 ás 12:00 - DOM: Fechado
57312236000180,MACHADO DOS REIS TECNOLOGIA LTDA,"AV WASHINGTON BARCELOS, 755",,ARAXA,,-19.5846471,-46.9311181,(34) 998090410,MG,,SEG A SEX: 09:00 ás 18:00 - SAB: 09:00 ás 13:00 - DOM: Fechado
40851540000101,STARTECH SOLUCOES UBERLANDIA LTDA/DIESLEI RAFAEL NUNES DE MOURA,"AV. Afonso Pena, 710 , centro , Uberlandia",,UBERLANDIA,38400-710,-18.9195008,-48.2786726,(034) 32239085,MG,,SEG A SEX: 09:00 ás 18:00 - SAB: 08:30 ás 13:00 - DOM: Fechado
52769310000179,UNIC TELECOM LTDA,"Av. Continental, 586",,UBERLANDIA,,-18.9552312,-48.2404411,-34,MG,,SEG A SEX: 09:00 ás 18:00 - SAB: 09:00 ás 12:00 - DOM: Fechado
52769310000250,UNIC TELECOM LTDA,Rua: Advogado 160 Bairro: Jardim das Palmeiras,,UBERLANDIA,,,,(34)99,MG,,SEG A SEX: 09:00 ás 18:00 - SAB: 09:00 ás 12:00 - DOM: Fechado
57016988000102,INOVA INTERNET E TELECOM LTDA,"Av. José Fonseca e Silva, 618 Loja 2, Luizote de Freitas  38414",,UBERLANDIA,38414-348,-18.936092,-48.335619,(034) 32360033,MG,,SEG A SEX: 09:00 ás 18:00 - SAB: 08:30 ás 13:00 - DOM: Fechado
71208516011702,CENTER SHOPPING - UBERLÂNDIA,"Av. João Naves de Ávila, 1331",,UBERLANDIA,,-18.9239742,-48.2622997,(034) 32559824,MG,,SEG A SÁB 10:00 ás 22:00 - DOM: 14:00 ÁS 20:00
71208516021767,TERMINAL CENTRAL - UBERLÂNDIA,"Av. João Pinheiro, 1154",,UBERLANDIA,,-18.8930563,-48.260855,(034) 32564807,MG,,SEG A SEX: 08:00 ás 20:00 - SAB: 08:00 ás 18:00 - DOM: Fechado
71208516022062,UBERLÂNDIA SHOPPING - UBERLÂNDIA,"Av. Paulo Gracindo, 15",,UBERLANDIA,,-18.9574923,-48.2764729,(034) 32256867,MG,,SEG A SÁB 10:00 ás 22:00 - DOM: 14:00 ÁS 20:00
10909720000128,GEOVANE LUIZ DE MELO (NOVATEL COMERCIO E PRESTACOES DE SERVICOS LTDA),"Rua Coronel Martinho Ferreira do Amaral, nº 175, CEP: 35.519",,NOVA SERRANA,,-19.877604,-44.984469,(037) 32262600,MG,,SEG A SEX: 08:30 ás 19:00 - SAB: 08:30 ás 13:00 - DOM: Fechado
5262137000138,FLAVIO RICARDO PINTO CPF 893.905.806-25,"Rua Dimas Guimarães,362",,NOVA SERRANA,35520-012,-19.8765341,-44.9842107,(037) 32269100,MG,,SEG A SEX: 08:30 ás 18:00 - SAB: 08:30 ás 12:00 - DOM: Fechado
10408785000190,BRASTEL TELEFONIA LTDA,"Av. Prudente de Morais, 470",,UBERABA,38026-250,-19.762602,-47.915262,(034)33224400,MG,,SEG A SEX: 09:00 ás 18:00 - SAB: 09:00 ás 12:00 - DOM: Fechado
27597161000160,ABREU & SILVA,"Rua João  Dalacqua, 497 Beijo Flor",,UBERABA,,-15.467491,-39.651809,(034)33363278,MG,,SEG A SEX: 09:00 ás 18:00 - SAB: 09:00 ás 12:00 - DOM: Fechado
27728585000117,O & C TELECOMUNICACOES LTDA,"Praça Henrique Kruger, 70, Centro Uberaba",,UBERABA,,-19.7477197,-47.9359336,(034)33124000,MG,,SEG A SEX: 09:00 ás 18:00 - SAB: 09:00 ás 12:00 - DOM: Fechado
